time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	5.6138e-06	1594.86
1	5.6138e-06	1.12846e-05	66140.2
2	1.12846e-05	1.70135e-05	35447.1
3	1.70135e-05	2.28019e-05	20057.1
4	2.28019e-05	2.86508e-05	13013.8
5	2.86508e-05	3.45616e-05	8062.5
6	3.45616e-05	4.05357e-05	4860.96
7	4.05357e-05	4.65743e-05	3000.02
8	4.65743e-05	5.26789e-05	1978.18
9	5.26789e-05	5.8851e-05	1420.49
10	5.8851e-05	6.50921e-05	1107.56
11	6.50921e-05	7.14036e-05	930.26
12	7.14036e-05	7.77873e-05	836.995
13	7.77873e-05	8.42449e-05	800.182
14	8.42449e-05	9.07779e-05	802.374
15	9.07779e-05	9.73882e-05	831.32
16	9.73882e-05	0.000104078	877.524
17	0.000104078	0.000110848	933.009
18	0.000110848	0.000117702	991.241
19	0.000117702	0.000124641	1047.24
20	0.000124641	0.000131667	1097.97
21	0.000131667	0.000138783	1141.97
22	0.000138783	0.00014599	1178.86
23	0.00014599	0.000153292	1208.95
24	0.000153292	0.00016069	1232.56
25	0.00016069	0.000168188	1249.93
26	0.000168188	0.000175787	1261.02
27	0.000175787	0.000183492	1265.9
28	0.000183492	0.000191304	1264.64
29	0.000191304	0.000199227	1257.56
30	0.000199227	0.000207264	1245.1
31	0.000207264	0.000215419	1227.9
32	0.000215419	0.000223694	1206.77
33	0.000223694	0.000232094	1182.54
34	0.000232094	0.000240622	1156.07
35	0.000240622	0.000249282	1128.15
36	0.000249282	0.000258078	1099.5
37	0.000258078	0.000267016	1070.75
38	0.000267016	0.000276098	1042.42
39	0.000276098	0.000285331	1014.94
40	0.000285331	0.000294719	988.619
41	0.000294719	0.000304267	963.679
42	0.000304267	0.000313982	940.32
43	0.000313982	0.000323868	918.655
44	0.000323868	0.000333933	898.713
45	0.000333933	0.000344182	880.56
46	0.000344182	0.000354623	864.185
47	0.000354623	0.000365262	849.58
48	0.000365262	0.000376109	836.728
49	0.000376109	0.00038717	825.589
50	0.00038717	0.000398454	816.105
51	0.000398454	0.000409972	808.251
52	0.000409972	0.000421732	801.986
53	0.000421732	0.000433744	797.247
54	0.000433744	0.000446021	793.951
55	0.000446021	0.000458574	792.073
56	0.000458574	0.000471415	791.547
57	0.000471415	0.000484558	792.293
58	0.000484558	0.000498018	794.252
59	0.000498018	0.000511811	797.369
60	0.000511811	0.000525952	801.577
61	0.000525952	0.000540462	806.808
62	0.000540462	0.000555358	812.987
63	0.000555358	0.000570662	820.087
64	0.000570662	0.000586397	828.03
65	0.000586397	0.000602589	836.765
66	0.000602589	0.000619264	846.267
67	0.000619264	0.000636452	856.49
68	0.000636452	0.000654185	867.382
69	0.000654185	0.000672501	878.934
70	0.000672501	0.000691437	891.109
71	0.000691437	0.000711038	903.89
72	0.000711038	0.000731352	917.281
73	0.000731352	0.000752432	931.269
74	0.000752432	0.00077434	945.845
75	0.00077434	0.000797142	960.996
76	0.000797142	0.000820914	976.725
77	0.000820914	0.000845743	993.03
78	0.000845743	0.000871728	1009.87
79	0.000871728	0.000898981	1027.2
80	0.000898981	0.000927631	1044.95
81	0.000927631	0.000957832	1063
82	0.000957832	0.000989759	1081.17
83	0.000989759	0.00102362	1099.19
84	0.00102362	0.00105967	1116.67
85	0.00105967	0.00109821	1133.05
86	0.00109821	0.0011396	1147.52
87	0.0011396	0.00118431	1158.94
88	0.00118431	0.00123291	1165.68
89	0.00123291	0.00128615	1165.39
90	0.00128615	0.001345	1154.94
91	0.001345	0.00141079	1130.06
92	0.00141079	0.00148538	1085.27
93	0.00148538	0.00157148	1014.31
94	0.00157148	0.00167332	911.296
95	0.00167332	0.00179796	773.624
96	0.00179796	0.00195865	606.911
97	0.00195865	0.00218513	430.618
98	0.00218513	0.0025723	284.898
99	0.0025723	inf	0.350878
